UID,Timestamp,Status,Videos Count,Query,Random Topic,Augmented Query 1,Augmented Query 2,Time to copy audio,Time to load and transform video,Time to load and transform audio,Time to load and transform text,Time to get ImageBind inputs,Time to get ImageBind embeddings,Video ID 1,Video Value 1,Video Selected 1,Video ID 2,Video Value 2,Video Selected 2,Video ID 3,Video Value 3,Video Selected 3,Video ID 4,Video Value 4,Video Selected 4,Video ID 5,Video Value 5,Video Selected 5,Video ID 6,Video Value 6,Video Selected 6,Video ID 7,Video Value 7,Video Selected 7,Video ID 8,Video Value 8,Video Selected 8,Video ID 9,Video Value 9,Video Selected 9,Video ID 10,Video Value 10,Video Selected 10,Video ID 11,Video Value 11,Video Selected 11,Video ID 12,Video Value 12,Video Selected 12,AvScore
31,2024-06-17 13:23:03.269,not_blacklisted,8,Differences Between Acoustic and Electric Drums,Traveling to [country/city name]: best places to visit.\,Best sites in Paris for art and history lovers,\uc0\u55356 \u57140,0.8098185062408447,15.36711049079895,1.2410848140716553,0.27556920051574707,17.69504690170288,0.07423734664916992,oDJyLl08Zmc,0.19093266129493713,false,LwDDXiNty2k,0.25898441672325134,true,oXlvLPEjllg,0.30342337489128113,true,b9m-Y6ICAb0,0.24020037055015564,true,jSnrucT5A84,0.2735257148742676,true,4_T3twUuxVM,0.11857904493808746,true,jQLcfSEEB14,0.27736419439315796,true,haRKaJfy7EY,0.21917292475700378,true,VuqffA3dinI,0.1863994300365448,true,W5vLVJ4fqFU,0.27180320024490356,false,2O1QUnnj7V0,0.3167090117931366,true,,,,
141,2024-06-17 13:25:35.637,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-06-17 13:27:46.692,not_blacklisted,8,Architectural styles of ancient Greece,Messi: His records in football history\,Messi's scoring feats in LaLiga: Top 5 matches.,"Messi's Goals: LaLiga, Champions League, Argentina National Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 13:28:06.622,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 13:30:15.110,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,2024-06-17 13:32:25.495,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2024-06-17 13:34:50.749,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2024-06-17 13:42:14.322,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,2024-06-17 13:42:31.826,blacklisted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,2024-06-17 13:43:24.885,not_blacklisted,8,How comic book conventions have changed over the years,Blockade of the Silver War: strategy and consequences.\,Silver War blockade strategy: consequences at 10th Galactic Battlefield,Naval blockade of the Silver War: Strategy and consequences at the Bay of Biscay.,1.021265983581543,20.365726232528687,1.1303625106811523,0.2126941680908203,22.731650352478027,0.07467174530029297,XRV0xN-k_T0,0.1523977816104889,true,l0eKDsTWPv0,0.16681623458862305,false,7bZ20VMjbY4,0.18375349044799805,true,c7wb9n4V__c,0.20784935355186462,true,DtPbWU9ZGmw,0.22444069385528564,false,a8w1NMbFVKA,0.19131064414978027,true,LBcBqQVmhZY,0.20719610154628754,false,liL4HApG82Q,0.1592162549495697,false,_IptATkLepI,0.17085132002830505,true,_Hixh14N06M,0.2435840368270874,true,3bpyhYNri-Q,0.18575751781463623,true,EYXgTbpojEQ,0.19752594828605652,true,0.39
